Subject_ID,max,min,median,mean,var,rms,diff1_mean,diff2_mean,diff1_std,diff2_std,freq0,freq1,freq2,freq3,freq4,freq5,freq6,freq7
20250408-00999099,-22.5,-32.5,0.4685679123906513,0.4967610400987878,0.0261846241977855,0.5224520601527141,3.751949056113354e-05,6.521299371114864e-05,0.0324861968802348,0.0164863254374726,2.133001345731891,0.7448096360735427,1.693525119677936,0.2131584269511324,0.0576433119733342,0.026858009097256,0.0203038508220297,0.0101015730282669
20250408-01105283,20.0,-11.1,0.8323016675810362,0.6328891722382561,0.1292448325522465,0.7278691756687266,-0.00110733095312,7.0148501616274205e-06,0.0117222949727559,0.0050396581494492,16.565656050489174,0.3456886152430541,0.0447366257520943,0.0175779897056133,0.0146020704981075,0.0048614614138215,0.001509067991503,0.0006809401645061
20250408-01588050,15.2,4.6,0.5380785075222349,0.5441790794139033,0.0329817009607803,0.5736833372449855,-0.0007650351816225,-5.934887460974394e-05,0.0192487346577724,0.0096173210561147,3.729059703915192,0.330902702488057,0.2260366619787297,0.0446213128450176,0.04907169733989,0.024034005462343,0.0092197010638127,0.0042452605308769
20250408-03118448,3.7,-13.1,0.6055272997742568,0.55639700086056,0.0783504005189961,0.6228386814301294,-0.0004833499998999,2.1126159337493798e-06,0.0135416561569112,0.0066006191691341,16.807776130959148,0.057342282945133,0.0146492562877294,0.0174969090446231,0.0008803997627801,0.0040599880757986,0.0060109820725704,0.001801773417415
20250408-03621685,-74.5,-85.5,0.6254943260232549,0.5568548387657264,0.0598921875165789,0.6082594010563109,-0.0010726984446385,-1.9044759587873336e-05,0.029331525190796,0.0164454029538961,6.1247443240359,0.5643886978576982,0.4306416891947902,0.1801706782430968,0.0499791471397929,0.0178195429048713,0.0264628673782734,0.0094638157644884
20250408-05822690,-39.6,-114.2,0.538213489654523,0.5008161047993989,0.0439885639353409,0.5429597911096028,-0.0013379085809397,6.740553647185287e-05,0.0251226431512162,0.0270834712123313,1.6322014165318195,1.371333741293447,0.1803165483830851,0.000146007855431,0.0032785726709799,0.0062603248977518,0.0011695368403411,0.0004515170857927
20250408-2300400469,15.0,-0.8,0.4142497457360171,0.4462670325314792,0.0535666745790891,0.5027135754120248,-0.0002740705588652,1.505935346778474e-06,0.0228824805252996,0.015054850343348,9.94403279464398,1.065940804910394,0.2262810631299603,0.1397090628500798,0.0834546880271699,0.0490388861967198,0.0254255431838788,0.01726259117424
20250408-2400092931,15.2,8.5,0.4967060710696943,0.5002023478355059,0.0516611572584403,0.5494211008312229,-0.00047680500433,-0.0003767749557837,0.0434480102740934,0.0232577949517636,3.729962995166957,2.485415958667926,1.059653807618225,0.1888321827720125,0.1884237455370424,0.1013263944810033,0.0162768392875045,0.0240508943610545
20250408-2400278857,15.3,-8.7,0.4405928583916781,0.4367122831596133,0.0844082323555651,0.5245244042159025,-0.0017708322888255,-2.0940135385103928e-05,0.0084073004160958,0.0038959928405515,3.166259731389092,0.1690414603140449,0.0398993767167917,0.0108500712972699,0.0102442557144251,0.0018499233434125,0.0005647704447512,0.0005172725153581
20250408-2400338971,-4.3,-8.5,0.6223826212041144,0.6087720463225124,0.0363685620934718,0.6379435448981131,0.0002085371438563,2.538152596361397e-05,0.0386362477504791,0.0220498669617816,4.128965331755952,1.4750294290596904,0.6211446922395153,0.1011560950990032,0.2814240593038106,0.0840912716123043,0.032893566688995,0.0135621363800067
20250408-2400356693,-0.6,-18.7,0.3134708881248014,0.3565452443352433,0.0361327469454673,0.4040510589066012,0.0001884685066281,2.659431897920096e-05,0.0351938644313488,0.0219156249781672,1.7678530138901738,0.6126143691593771,0.4896088993810392,0.1020973147710437,0.1022013492996224,0.0642894024900898,0.044276627583495,0.0217009331508184
20250408-2400418077,6.6,-13.3,0.3368880053238852,0.3205191699115963,0.0341690378010689,0.3700021298342588,0.0002045600952621,6.487882274844264e-05,0.0258925785439397,0.0149528062279007,3.350805294029929,0.2585310654102749,0.1355629266199736,0.0077471022484467,0.045794993949115,0.0173687251911914,0.0068819173429742,0.0037704945173873
20250408-2400782691,-26.7,-38.3,0.4080851830079343,0.4328446038821773,0.0297783437701085,0.4659751011374186,-0.0001826364812047,-0.000139608577498,0.0357945130156503,0.0276279471285889,2.0808318503216388,0.4957090336864281,0.2021205526012635,0.1436467848182884,0.0521447086407587,0.028518523430897,0.0277311186057859,0.0166591215122755
20250408-2400872042,-4.6,-9.2,0.572474167765741,0.5567729960190841,0.0263450228438129,0.5799493011806119,-0.0002128063110667,0.000247621620315,0.0291997599002165,0.0188292031642828,2.896798551981352,0.1855310150735186,0.5474655780112795,0.2118534588318223,0.0404995282328565,0.0580341894072065,0.0384592393084014,0.0256417836427484
20250408-2400874426,-3.8,-13.1,0.5202180177961091,0.4854901786259272,0.0335464426649535,0.5188903123080911,0.0007268207393014,0.0001593120580342,0.0254992557276872,0.0163735281967539,2.8179118463896065,0.4262876897494915,0.2259218107822477,0.1360819982251134,0.0840102270976603,0.0166080507852378,0.0121820498591378,0.0155616387358986
20250408-2400933298,-63.5,-76.9,0.6074710726403016,0.5669733141176834,0.0613161817551934,0.6186880641137201,2.0770790819031847e-06,6.572087668199931e-06,0.0204982246582359,0.0091427448928139,2.75418469976077,0.7060062677087542,0.1376231274436956,0.079544416728984,0.0209667190361096,0.0065551286256104,0.0043455277966091,0.0031804116048541
20250408-2400965175,-10.5,-39.1,0.6839297942494982,0.572943251521149,0.1064618115684125,0.6593373802781387,0.0015103899838809,2.4935436277791097e-07,0.0074366668363659,0.0037066978168087,6.490022515132911,0.0342251079259851,0.0081379233877422,0.00251426319069,0.0012979646498892,0.0006986285818929,0.0003677136599215,0.0002489247868189
20250408-2400999174,-56.2,-62.3,0.3411489585770654,0.3811087110416106,0.0510611966367107,0.4430632531236467,-0.0006665795821816,-9.518127776175432e-05,0.0158266024595584,0.0084287286164748,4.840918310710565,0.240338743993973,0.0757670737009405,0.0485544392359914,0.021657139681506,0.0068637221569277,0.0038874578404084,0.0024801643761372
20250408-2500038267,-15.9,-33.9,0.4578374892836336,0.4714987073214895,0.0471946449632527,0.5191393608358823,0.0008581519176852,-5.380731002877615e-05,0.0339077955243598,0.0169026877377916,3.15397174690936,2.439249415479273,0.367770491088351,0.303328147455627,0.1029863852860576,0.0268887055767072,0.0190233087736323,0.0159227981033415
20250408-2500040990,-8.6,-21.2,0.3549623612460433,0.3809657251553565,0.0360579109702304,0.4256674696442953,-0.0007434474722452,0.0001345490623544,0.0442826220742515,0.0293136552774266,2.013205780006083,0.7925435743282199,0.3823582278383254,0.4841370985023849,0.2737927103809799,0.1623864026424165,0.0775128483632867,0.0419761030240497
20250408-2500105769,-16.9,-36.8,0.2916699105632486,0.3565392961469476,0.0542183814060424,0.4258387618606404,0.0003287693645074,2.4635266631101508e-06,0.0199604429480238,0.0079192128684287,13.841551627648569,0.8372109709214692,0.5361486500768422,0.149274849831229,0.0497693738919307,0.0197265716602936,0.0046470173387372,0.0022399857229505
20250408-2500134878,19.7,11.9,0.5332404157642274,0.5095022250273904,0.0584133615457473,0.5639200997070497,0.0013690095867989,0.0002157637287068,0.0325020732491083,0.0208266600223856,6.065795956253011,0.5122624420648417,0.0848041760980001,0.059307294018554,0.0482567405965774,0.0435889594688025,0.0187918702668813,0.0142799199783838
20250408-2500225128,5.6,-20.0,0.5333735409813827,0.5555409291933745,0.0512299510853765,0.5998797171887166,-0.0007508291938016,-9.322843685708598e-05,0.0168712663081218,0.0100368548733073,11.630321613333187,0.0718044868333866,0.0529791557300799,0.0605217161845802,0.0134686397375774,0.0072440983565848,0.0110906477068577,0.0070392139348005
20250409-2300773053,-61.0,-75.1,0.3512571299829035,0.4168889867123467,0.0473193393241842,0.4702294828764264,0.0005419205268137,1.0228204113969466e-05,0.0232009056568747,0.0111926358007922,6.316606392430337,0.5276285765561058,0.1943996813739355,0.1495116570233872,0.0337711779998964,0.02718602380116,0.0113538219948104,0.0067100529309195
20250409-2300849564,-9.4,-15.9,0.617144405694092,0.6128099967751898,0.0293352467973317,0.6362950093666773,0.0003734150335755,-5.204784133357554e-05,0.0500149836628109,0.0405194896339738,1.3641554460486185,0.4108865404398377,0.2721303866494523,0.2322582187139721,0.1795166182664274,0.0855835829499619,0.0399195158762679,0.0414837065956907
20250409-2400846060,9.2,-0.2,0.5590254763291751,0.5582870021052514,0.0431892213097059,0.5957126807693243,0.0001542319909369,-7.002663913882654e-05,0.0145004290929078,0.0066816895411344,2.1434884649417536,0.3116180577670865,0.056257024758218,0.0084712534313602,0.0030892810354496,0.0016840253000886,0.0010382216974365,0.0001995508649058
20250409-2400927189,4.6,-22.1,0.2994591747527118,0.3495975922785274,0.0559695421977838,0.4221232269429477,0.001183295127095,2.222307491066739e-05,0.0304244463570018,0.0148262036185893,7.38357081663504,2.322014121460184,0.4209446633138965,0.1587941420468007,0.1250660925669303,0.0444573736702498,0.0098636825019189,0.0052789466816984
20250409-2400959773,-19.4,-38.8,0.3583822609825762,0.4432929321555581,0.0912277776665772,0.536410664850774,-0.0008549549434976,6.098346648873947e-06,0.0156597936571393,0.0089425657362576,7.274366672028789,0.525382923968425,0.0621090454469936,0.0452864263535721,0.0165644079186767,0.0107393863351456,0.0077646820307131,0.0040379776139541
20250409-2400993079,7.8,-24.3,0.5933126612478512,0.5287542734808014,0.0598803600852473,0.5826331966249927,0.0002591935257523,-1.971282050394494e-05,0.0116318045393133,0.0064575237119386,16.019799657878675,0.394971299773224,0.1344444862418161,0.0396182283624063,0.0237982945344692,0.0020542065642413,0.0033977702005192,0.0045676695599676
20250409-2500054079,-21.4,-55.4,0.0990587170930386,0.2558157559688039,0.0784689295964818,0.3793555464183599,0.000747206082364,1.1577325881097218e-05,0.0083214036788059,0.0032411320651905,7.421562280974272,0.0381398852970903,0.0333777635497896,0.0024656555655407,0.0034563232159078,0.0026595534230828,0.0003384075012023,0.0003851541792785
20250409-2500095433,-37.9,-66.4,0.3141934705960315,0.3646942159183151,0.0418962941844433,0.4182082798184631,0.0010014873846376,-4.911286165686247e-05,0.017504223934861,0.0077887318760126,9.909050905221164,0.8792246547308166,0.1209058936044434,0.0500996256002336,0.0171238047225946,0.0089201875635584,0.0045106597147778,0.0033085581383262
20250409-2500149149,9.7,-9.3,0.6819856553353107,0.6291904116228194,0.0666059175590853,0.6800635938183855,-0.0010973268070279,7.456192899851762e-06,0.0185249318587344,0.0098339748231946,4.292223780433588,0.215691527963988,0.1281592092370915,0.0323922384088592,0.0156688073701396,0.0080643259478751,0.0029822563230688,0.0015861220864278
